category,clean_comment,sentiment
"general","night look is mind blowing stay blessed","spam"
"general","she looks like doja cat but green","positive"
"general","nakakagulat f nakakagulat talaga sobrang haba talaga","positive"
"general","","positive"
"general","jai des frissons","positive"
"general","swatisinghofficial88 yes subah wash karne ko bola hai na video me suniye dhyaan se","positive"
"general","nice","spam"
"general","next appointment she gonna all kinds of pregnant black girl magic","positive"
"general","i like you viedios so matsh","spam"
"general","beyourbestofficial thats nice of you but mention kardiya karo paid promotion hai","spam"
"general","i just love her voice","spam"
"cosmetic","wish i could such beautiful makeup","spam"
"general","super","positive"
"general","","positive"
"general","","positive"
"general","slayyyyyy","positive"
"cosmetic","mere school me bhi no makeup allow nhi hai","positive"
"general","iu","positive"
"general","tai trop belle et tu la trop bien fais","positive"
"general","link to buy this pls","positive"
"general","didi maaf karna wo hoti hongiiii ladkiyan jinko tndh nhii lgti mera to bilkul ulta hai besk khin v jana ho","positive"
"general","beautiful","spam"
"general","bell ka notification all per click kar dena dear","positive"
"hair","i went to a predominantly black highschool and yes all my friends had and still have thick long beautiful hair yes they did take care of it too we would get perms together i remember how cool it would be because my bffs hair was to perm straight and mine was for the curls","spam"
"general","yes","positive"
"general","aw thank you so much","spam"
"general","bald or ginger 4 sure","positive"
"general","looking so pretty","spam"
"cosmetic","bhen itna makeup khrb krne k bad","positive"
"general","dont let people bully you you are beautiful perfect and healthy just the way you are stop all the heating guys","spam"
"general","wonderful","spam"
"cosmetic","tutorialmakeupmasakini 17 menit yang lalu","positive"
"general","ngakak kok kayak ngantuk","positive"
"general","so cute","spam"
"general","ini mah mirip orng indonesia","positive"
"general","du","positive"
"general","omg slayyyy","spam"
"general","night look","positive"
"hair","i have straight hair and i have these problems","negative"
"general","how","positive"
"general","ginger","positive"
"general","same odio a las haters de kendall v kendall diosa","positive"
"general","fool","negative"
"general","o negcio bonito mulher com cacho pqp","positive"
"general","nice","spam"
"general","the last lesson of my life","positive"
"general","cool","spam"
"general","jungkook","positive"
"general","jisoo please","positive"
"general","my india is best","spam"
"general","piece of coal","negative"
"general","bellas","positive"
"general","gay","negative"
"general","you just stop it you stop it right now you dont have to make every viewer fall in love with you stop being cute and witty i swear right now if i see that sweet ass in those jeans its all over for you and i well definitely for me lmao you have no idea who i even am lol","positive"
"general","omg i made the cmnts 1k broo i got the power","spam"
"general","eu","positive"
"cosmetic","only the first girl i see who makeup nicely love you di","spam"
"general","who needed a tutorial for this shes so cute tho","spam"
"general","gay as hell","negative"
"general","you are so beautiful","spam"
"general","i like juicy","spam"
"hair","rohitji can u please recommend good dandruff shampoo","positive"
"general","didi up ko makap nay karna pa achala laghtaha","positive"
"cosmetic","indian makeup is thousand time better from this","spam"
"general","zaydie","positive"
"general","i love the ginger but your natural is so beautiful too so you do you","spam"
"general","e artianos grande abrao","positive"
"general","im in love with thissss","spam"
"general","i wear mask just to be safe maybe not from covid but from pollution and other illness like cough thats an immature way of thinking that people just wear mask because they have low self esteem and consider themselves as ugly","negative"
"general","looks beautiful","spam"
"general","man","positive"
"cosmetic","your beautiful with an d without makeup and even for everyone else true best is what is inside","spam"
"general","i love them all also i love that song","spam"
"general","isha kuntal kya boli aap i cant understand","negative"
"general","part 2 pa kuya jam please","positive"
"general","","positive"
"general","","positive"
"general","you look beautiful","spam"
"hair","do you prefer straight hair or bouncy curls","positive"
"general","very nice","spam"
"general","2 mkemeelll trkler buraya","positive"
"cosmetic","she looked 10x better without the makeup","spam"
"general","or just be rich","positive"
"general","congratulations","spam"
"general","no hate she looks like younger georgia from ginny and georgia","spam"
"general","hermosa me contagiaste t entusiasmo gracias me isiste el da","positive"
"general","mam apki base caheay","positive"
"general","around her age i used to sleep with my mouth open till its only 15 minutes left for my scl bus to arrive washed face and head full of coconut oil was my only beauty standard","positive"
"general","","positive"
"general","","positive"
"general","you got issues seriously","negative"
"general","my brother said a lifetime of a hamsters poo","positive"
"cosmetic","ap ke makeup name kya hai","positive"
"general","can you do bts v pls","positive"
"general","","positive"
"general","stop wasting food pls there are homeless peaple out there","negative"
"general","hey i saw u today in ambience mall gurugram","positive"
"general","night","positive"
"general","kaveri mehndi","positive"
"general","why would you read that","negative"
"general","how are you so gorgeous","spam"
"hair","belle hairs and ariel streaks","positive"
"general","bosdiwali kitni overating kari","positive"
"general","day 1","positive"
"general","where have you been girl","positive"
"general","wow","positive"
"general","ayo thats impossible u turned beautiful when u face ur tape no filter maganda mo kayo","spam"
"general","hi pratishtha you can surely follow these exercises and the other remedies mentioned in the video team glamrs","spam"
"general","ginger do be","positive"
"general","kak rikues make up ala changdorry","positive"
"general","heh ajin","positive"
"general","n ive liked him for a while now for a long time i will tell him at 100 likes if possible or 50 likes","spam"
"general","to whoever is reading this jesus loves you and hes coming soon all you need to do to be saved is believe that jesus christ died on the cross for your sins was buried and came back to life on the 3rd day confess with your mouth jesus is lord and youll be saved god bless","spam"
"general","you are already pretty","spam"
"general","wheres you buy","positive"
"general","","positive"
"skincare","bro my skincare routine is soap water and a towel lmao edit 500 likes whaaaaaa you guys are crazy edit thx for 800","positive"
"general","di meri sono mene bhi kiya h kaveri mehndi good product h an usme koi sa bhi kamikal nhi hota hai plz mera naam le na l can like you an also subscribe you okk by","spam"
"general","best makup","spam"
"general","","positive"
"general","i think its beatiful without make up","spam"
"hair","ive never been the first comment also that hair ate","positive"
"general","your pretty just the way u are and im the same too","spam"
"general","subscribe","positive"
"general","bride not bridal toouuba hy kia ho geyya hy app logon ko","positive"
"general","this was so beautiful","spam"
"general","tqem eresit","positive"
"general","itu masker badan mbak","positive"
"general","pagal jaise kyu kar rahi hai like karo","positive"
"general","cailou","positive"
"general","i searched for history chapter 2 and got this one","positive"
"cosmetic","wow mam so beautiful makeup god bless you","spam"
"general","too damn expensive","negative"
"hair","so you need to place the hair in hot water with a lot of conditioner place a bit of conditioner at a time and mix then repeat to know how much conditioner you need you stop when the water turns a murky white or whatever colour the conditioner is place the wig in the large bowl the water is in then make sure it stays in there with a spoon dont touch the water as it is very hot also dont brush the wig wait for it to dry then see how good the wig looks it may not be curly though","positive"
"general","europe","positive"
"general","","positive"
"general","nothing against you or your sponsor who i am confident provide a good product but some of us older guys just dont wat to buy into the subscription model im not buying anything at one price knowing that the vendor will want to charge me periodically at some higher price not me","positive"
"general","bhayankar ati bhayankar","positive"
"general","such a cute fit i love it also has anyone ever noticed that we never see her face just her aesthetic life outfits and routines","spam"
"general","","positive"
"general","my eyes","positive"
"general","shade match to ho ni rha","positive"
"general","butta lace wigs surprised me and yessss everette is looking right","spam"
"general","thats gay","negative"
"general","shes a generic supermodel to me no personality at all shes not pleasant to look at we need more models with unique personality and a bit more relatable not a boujee fashion model a breath of fresh air its so tiring to see a supermodel like this","negative"
"general","you","positive"
"general","me at first thinking what the hell am i watching at the damn he looks amazing","spam"
"general","why is her head always tilted not hate just observation lol","positive"
"general","cute","spam"
"general","","positive"
"general","girl you are just too holesome","negative"
"general","mulan","positive"
"general","fr","positive"
"general","everything looked incredible i love the theme that was my sisters baby shower theme also","spam"
"general","oh my god slayed that mcdonalds speedrun queennnnn","spam"
"general","cute","spam"
"general","its that time of the ear again","positive"
"general","cest vrai ce que tu dis mimi","positive"
"general","yup","positive"
"general","odgc apa odgj","positive"
"general","yes i now have different countertops and flooring that are high quality and dont stain as easily","spam"
"general","lndia","positive"
"general","i have a lot i just lose them all","negative"
"general","my is 1960s","positive"
"general","loll wow i am old this was my middle school","positive"
"general","pwoli dance","positive"
"general","thanks diamond consistency is key","positive"
"general","me compared to youi look trash","negative"
"hair","you look so pretty with that hair color","spam"
"general","as a man please keep make up","positive"
"general","dude is looking for a man not a woman","negative"
"general","ginger","positive"
"general","matanya","positive"
"general","no you dont","positive"
"general","aaaaa so pretty","spam"
"cosmetic","youre so pretty even without the makeup","spam"
"general","este vdeo promueve actividades peligrosas para la salud fsica y mental por favor piensa 3 veces antes de subir este contenido muchas nenas adolescentes te estn viendo y les influyes","positive"
"skincare","anyone here with sensitive skin i get hundreds of tiny pimples even when only one shit thing is in the product","negative"
"general","india","positive"
"general","someone show her dua lipas video","positive"
"general","name mam","positive"
"cosmetic","makeup to mind blowing lga","positive"
"general","yesssss congrats chula hope u had a great time","spam"
"general","herralexugoshe still loks cute","spam"
"cosmetic","u will do makeup of face juhi chawla","positive"
"general","yess girl slay","spam"
"general","mantap banget bos","positive"
"general","hi","positive"
"general","porno i had no idea omg","positive"
"general","oml yesss","spam"
"general","hiee","positive"
"general","ariana grande","positive"
"general","thats why government job is necessary","positive"
"general","ella con un pelaxo y yo con pelito en pleno crecimiento","positive"
"general","thats one of the gayes things ive seen in a while","negative"
"cosmetic","i was very happy with my wedding makeup maine sirf apne mn ka kraya tha","spam"
"general","day night look so beautiful","spam"
"hair","ese hairstyle ke liye hair bhi ache hone chahiye","positive"
"general","night look","positive"
"general","u are a true gem no fakeness just genuine and real person","spam"
"general","guys like you should be put in the prison for destroying young boysturning them into girls","negative"
"general","so wonderful yaar","spam"
"general","sameeeeeeee omg i found my twin","spam"
"general","i though that it was a wig","positive"
"general","neeeeeeeeed earring details","positive"
"skincare","konsa moisturizer best hota hai makeup ke liye comment please","positive"
"general","how many times we have to use rice water in a day we should wash our face with normal water or leave it what should we apply after washing face with rice water please reply","positive"
"general","older because then they can drive me places if i dont have a car","positive"
"general","","positive"
"skincare","nothing is wrong with men these days just like women need skin care and care for their health men do to men also have feelings not just woman","positive"
"general","i commend your skills and level of patience while doing this","spam"
"general","u should get dreads you would look nice","spam"
"general","perfume","positive"
"general","","positive"
"general","cute","spam"
"hair","when did i say my hair was spaghetti","positive"
"general","beautiful","spam"
"general","stop talking","negative"
"general","","positive"
"general","i agree make up should enhance your natural beauty","spam"
"general","chess board ahh cut","positive"
"general","what the fuck i thought it was real","negative"
"general","is there india vs pakistan","positive"
"general","lina tutto ci bellissimo ma capelli ancora pi belli","positive"
"general","omgnora ke itni beezaati","positive"
"general","which shade cutie","spam"
"general","red was never there","positive"
"general","beautifull gyal","positive"
"general","u are beautiful both ways","spam"
"general","auntie what u doing","positive"
"general","wenn sie filialen hier in deutschland htten ich wre stammkundin","positive"
"general","india is super","spam"
"general","hi search about islam religion i dont really have better gift","negative"
"general","pramotion rukna nahi chahiye","positive"
"general","","positive"
"general","ichmagdeincanalgeflltmirsehr","positive"
"hair","i hate curly hair and i love when people bully your hair hahahahahahaha","negative"
"general","yes girl","spam"
"general","thank you for your comment please check out our facebook wwwfacebookcomslbasics instagram wwwinstagramcomslbasics or order through website wwwslbasicscom call 03041110752 or whatsapp on 03022227427","spam"
"general","im a guy and this is unrealistic i turn into kfc and watermelon","negative"
"general","in india its not disabled but specially abled","positive"
"hair","hair achhe hai par hairstyle uski tarah nhi hai","positive"
"general","you i you","positive"
"hair","a lot of people dont understand the even quote unquote high end reputable places selling real human hair are often full of really unethical practices if not just outright human trafficking and stealing hair from victims of genocide and imprisoned people if that temu wig does in fact have real human hair and honestly it probably doesnt i would bet almost anything it was not sourced in an ethical manner and i dont know about you but i would never feel comfortable about wearing a potentially enslaved persons stolen hair on my body real human body parts yes including hair is going to be expensive","negative"
"cosmetic","thats chinese lipstick","positive"
"general","all time u come up with speechless creativity","positive"
"hair","short hair looks 100x better on you than long","spam"
"hair","koe wetzel cuts hair too","positive"
"general","waoww what a name valentine in october","spam"
"general","hey once they have had a walk in ur shoes dont listen to them","negative"
"hair","why does she need it when her hair looks full healthy and fabulous i could understand it if she was going for an entirely different look but shes trying to duplicate the look she already hasthick healthy and kinkyif only we could be content with what we have i met a woman with the most beautiful curly red tresses she absolutely hated it i said girl do you know how many people would die for that hair and are trying to duplicate it she said i know society tries to tell females what is the standard of beauty but women need to accept themselves as beautiful and applaud their fellow females in their beauty as well then the standard of beauty will be accepted all around as a happy healthy variety of fabulous women amen amen lets uplift beauty in all women","negative"
"cosmetic","elegant ive gotten pretty good at using makeup before but never tried red lipstick feel insecure and i also like the artists swatches jung eun chae thank u for this","spam"
"general","took if the men find out we can shapeshifter theyll calm the church to a whole other level","positive"
"general","no i cant keep it sorry notsorry","negative"
"general","","positive"
"general","it was a wig its not the same color","positive"
"cosmetic","di you i like your without makeup look like this you are looking so cute really","spam"
"general","the brown one is js bc she used an inaccurate color but she actually is brown","positive"
"general","yaaaaaaaassss sis","positive"
"general","cest de la colle il a t retrouv des morceaux de colle sous la peau trs dangereux","positive"
"general","moustache","positive"
"cosmetic","my wife wears makeup for her i think she looks great without it and in my opinion the real no makeup side in this video looks better","spam"
"general","sundari masha stone","positive"
"general","","positive"
"general","only dif better chin","positive"
"general","you look like tzuyu from twice","positive"
"general","when kat von dee isnt the owner of kvd a lot of people are using it now lol","positive"
"general","","positive"
"general","2020","positive"
"general","vihi5639 dont you think they understand that now that 3 people have commented it lmao","positive"
"general","so pretty","spam"
"hair","hair is natural dont choose for her back off","positive"
"general","","positive"
"general","nyc","positive"
"general","i think you look gorgeous the way you r","spam"
"cosmetic","wow so beautiful you are makeup doing","spam"
"hair","short hair suits u the best out of all your other hair its so pretty","spam"
"general","h","positive"
"general","yes 100","spam"
"general","","positive"
"general","super","positive"
"general","","positive"
"general","","positive"
"general","thats my mother she is the best","spam"
"general","but he didnt","positive"
"general","video thoda short bnai pls","positive"
"general","you are so rude","negative"
"cosmetic","literally looked better before makeup","spam"
"general","youre so cute","spam"
"general","wowwwww","negative"
"general","ive done this for so long that i just kinda do it mindlessly you have to be careful tho because if you do it too hard its obvious and just makes you look kinda cringe","negative"
"general","the struggle is real","negative"
"general","somebody please explain to me whats happening whats wrong with her what did she do","negative"
"general","there is no black or white is just different flavors of toasted","positive"
"general","do red","positive"
"general","yfnomegjdb","positive"
"general","our apne jewelry kaha se liya","positive"
"general","the person i put in the comments needed more attention i was trying to spread their channel","positive"
"general","","positive"
"general","1950s","positive"
"cosmetic","one day before makeup expires","positive"
"general","she said","positive"
"general","","positive"
"general","i just love whenever you shoot with natural background lovee itbtw thanks for these amazing tips","spam"
"general","balti bhar bhar kar paint lagai h","positive"
"cosmetic","how to eat lipstick","positive"
"cosmetic","makeup products ka link please","positive"
"general","","positive"
"general","thank you so much for watching","spam"
"general","ye taiyaar hoke jata kidar hai","positive"
"general","linda","positive"
"general","","positive"
"general","how old are you","positive"
"general","so beautiful","spam"
"general","that was so cute","spam"
"general","","positive"
"general","ten out of ten","positive"
"general","","positive"
"general","heard about cyberpunk yes dont know if im going to get it","negative"
"general","if you cant pronounce written words please go back to school","negative"
"general","fionashrek","positive"
"general","is the same face of wednesday i love it","spam"
"general","you are not a woman get that in your head","negative"
"general","dry af","negative"
"general","starting ending","positive"
"general","bro its stupid how people only think people who are from korea thailand japan china are only asian and not other asian countries wtf wat about philippines vietnam pakistan bangladeshi india bhutan nepal etc etc etc","negative"
"skincare","me wishing i had mat skin randomly getting tips for glowing skin again","positive"
"hair","thrid girl second hair style is so good but she is put a bad hair style for her hair its not matching for her hair","negative"
"general","trans women arent women","negative"
"general","no one asked","positive"
"general","","positive"
"hair","just because it dries straight doesnt mean shes lying about it she just haves naturally straight hair","positive"
"general","link","positive"
"general","bura laga","positive"
"hair","imagine trying that but its there real hair lol","positive"
"general","","positive"
"general","awesome video thank you as a 67 year old hispanic woman i am definitely not represented in the make up world i find it even more disturbing when when you go to a store and i experience these sales people selling us items that 1825 year olds wear that make us look ridiculous it breaks my heart","negative"
"general","beglowing8608 believe me","positive"
"general","pls do tsylor swift as anime","positive"
"skincare","personally i would never date a guy who doesnt take care of his skin","negative"
"general","night","positive"
"general","ginger fits you blonde makes you fabulous but bald is your true form","spam"
"general","wow","positive"
"general","laughing hard","spam"
"general","you are perfect","spam"
"general","i dont drink water you should start if you dont want to look like fifty before your thirties","negative"
"general","lol","positive"
"hair","im a guy with long hair i feel like a unicorn people in public want to touch it","positive"
"general","the video we needed but didnt deserve thank you","negative"
"general","glop ap mommy","positive"
"general","thats because she has tmj when she clenches a lot or chew on food the muscles on her jaw gets bigger","positive"
"general","4and1","positive"
"general","but the ginger is stunning on you","spam"
"general","its cute pretty and soooooo beautiful","spam"
"general","your family is muslim please answer me","negative"
"general","link please","positive"
"general","i like the before tho","spam"
"general","oh blush is the game changer to look chubby","spam"
"general","eu gostaria muito de ir mais s tenho whatsapp","positive"
"general","vaishnavisingh6192","positive"
"general","wish i was born back then","positive"
"general","i love you i love you sami","spam"
"general","the simps are spreading","negative"
"general","love u","spam"
"general","why the hell do i think she looks better without a wig on","negative"
"general","tab bhi khebdi thi aur abb bhi","positive"
"hair","synthetic hair being cut at the start","positive"
"general","creature","positive"
"general","food is a toy for you you cant play with food","negative"
"general","wow classic sharing good work keep it up stay safe","spam"
"general","amazing im 53 and was wondering how to deal with the now downturning eyes great tutorial gorgeous","spam"
"general","","positive"
